no,category,word,part of speech,cefr,meaning,oxford,academic,ielts
149,A,alien,adjective,C1,คนต่างด้าว,0,0,0
150,A,align,verb,C1,จัดแนว,0,0,0
151,A,alignment,noun,C1,การจัดตำแหน่ง,0,0,0
152,A,alike,adjective,C1,เหมือนกัน,0,0,0
153,A,alive,adjective,A2,มีชีวิตอยู่,1,0,0
154,A,all,adverb,A2,ทั้งหมด,1,0,0
155,A,all right,adjective,A2,เอาล่ะ,1,0,0
156,A,allegation,noun,C1,ข้อกล่าวหา,0,0,0
157,A,allege,verb,C1,กล่าวหา,0,0,0
158,A,allegedly,adverb,C1,ถูกกล่าวหา,0,0,0
159,A,alliance,noun,C1,พันธมิตร,0,0,0
160,A,allocate,verb,C1,แบ่งสรร,0,0,0
161,A,allocation,noun,C1,การจัดสรร,0,1,0
162,A,allow,verb,A2,ยอมให้ พิจารณา,1,0,0
163,A,allowance,noun,C1,เบี้ยเลี้ยง,0,0,0
164,A,ally,noun,C1,พันธมิตร,0,0,0
165,A,almost,adverb,A2,เกือบ,1,0,0
166,A,alone,adjective,A2,ตามลำพัง,1,0,0
167,A,along,adverb,A2,ตาม,1,0,0
168,A,alongside,preposition,B2,ข้างๆ,0,0,0
169,A,already,adverb,A2,เรียบร้อยแล้ว,1,0,0
170,A,also,adverb,A1,อีกด้วย,1,0,0
171,A,alter,verb,B2,ปรับเปลี่ยน,1,1,1
172,A,alternative,adjective,B1,ทางเลือก,1,1,1
173,A,although,conjunction,A2,แม้ว่า,1,0,0
174,A,altogether,adverb,B2,ทั้งหมด,0,0,0
175,A,aluminium,noun,C1,อลูมิเนียม,0,0,0
176,A,always,adverb,A1,เสมอ,1,0,0
177,A,amateur,adjective,C1,มือสมัครเล่น,0,0,0
178,A,amazed,adjective,B1,ประหลาดใจ,1,0,0
179,A,amazing,adjective,A1,อัศจรรย์,1,0,0
180,A,ambassador,noun,C1,เอกอัครราชทูต,0,0,0
181,A,ambiguous,adjective,C1,ไม่ชัดเจน คลุมเครือ,0,0,1
182,A,ambition,noun,B1,ความทะเยอทะยาน,1,0,0
183,A,ambitious,adjective,B1,ทะเยอทะยาน,1,0,0
184,A,ambulance,noun,B2,รถพยาบาล,0,0,0
185,A,amend,verb,C1,ปรับปรุง ทำให้ถูกต้อง,0,0,0
186,A,amendment,noun,C1,การแก้ไข,0,1,1
187,A,amid,preposition,C1,ท่ามกลาง,0,0,0
188,A,among,preposition,A2,ท่ามกลาง,1,0,0
189,A,amount,noun,A2,จำนวน สรุปความ,1,0,0
190,A,amusing,adjective,B2,น่าขบขัน,0,0,0
191,A,analogous,adjective,C1,คล้ายคลึงกัน,0,0,1
192,A,analogy,noun,C1,การเปรียบเทียบ,0,0,0
193,A,analyse,verb,B1,วิเคราะห์,1,0,0
194,A,analysis,noun,B1,การวิเคราะห์,1,1,1
195,A,analyst,noun,B2,นักวิเคราะห์,0,0,0
196,A,ancestor,noun,B2,บรรพบุรุษ,0,0,1
197,A,anchor,noun,C1,จุดยึด,0,0,0
198,A,ancient,adjective,A2,โบราณ,1,0,0
199,A,and,conjunction,A1,และ,1,0,0
200,A,angel,noun,C1,นางฟ้า,0,0,0
201,A,anger,noun,B2,ความโกรธ,1,0,0
202,A,angle,noun,B2,มุม,1,0,0
203,A,angry,adjective,A1,โกรธ,1,0,0
204,A,animal,noun,A1,สัตว์,1,0,0
205,A,animation,noun,B2,การเคลื่อนไหว,0,0,0
206,A,ankle,noun,A2,ข้อเท้า,1,0,0
207,A,anniversary,noun,B2,วันครบรอบปี,1,0,0
208,A,announce,verb,B1,ประกาศ,1,0,0
209,A,announcement,noun,B1,ประกาศ,1,0,0
210,A,annoy,verb,B1,รบกวน,1,0,0
211,A,annoyed,adjective,B1,รำคาญ,1,0,0
212,A,annoying,adjective,B1,น่ารำคาญ,1,0,0
213,A,annual,adjective,B2,ประจำปี,1,1,1
214,A,annually,adverb,B2,ทุกปี,0,0,0
215,A,anonymous,adjective,C1,มีชีวิตชีวา เหมือนมีชีวิต,0,0,0
216,A,another,determiner,A1,อื่น,1,0,0
217,A,answer,noun,A1,คำตอบ,1,0,0
218,A,anticipate,verb,B2,มุ่งหวัง ทำนาย ลงมือกระทำการก่อน,0,0,1
219,A,anxiety,noun,B2,ความวิตกกังวล,0,0,0
220,A,anxious,adjective,B2,ห่วงใย กังวลใจ,1,0,0
221,A,any,adverb,A2,ใดๆ,1,0,0
222,A,any more,adverb,A2,อีกต่อไป,1,0,0
223,A,anybody,pronoun,A2,ใคร ๆ,1,0,0
224,A,anyone,pronoun,A1,ใครก็ได้,1,0,0
225,A,anything,pronoun,A1,อะไรก็ตาม,1,0,0
226,A,anyway,adverb,A2,ถึงอย่างไร,1,0,0
227,A,anywhere,adverb,A2,ทุกที่,1,0,0
228,A,apart,adverb,B1,ห่างกัน,1,0,0
229,A,apartment,noun,A1,อพาร์ทเม้น,1,0,0
230,A,apologize,verb,B1,ขออภัย แก้ตัว,1,0,0
231,A,apology,noun,B2,คำขอโทษ,0,0,0
232,A,app,noun,A2,แอป,1,0,0
233,A,apparatus,noun,C1,อุปกรณ์,0,0,0
234,A,apparent,adjective,B2,เด่นชัด,1,1,1
235,A,apparently,adverb,B2,เห็นได้ชัดว่า,1,0,0
236,A,appeal,noun,B2,การร้องเรียน เรียกร้อง ดึงดูดใจ ซาบซึ้ง,1,0,0
237,A,appealing,adjective,C1,น่าดึงดูด,0,0,0
238,A,appear,verb,A2,ปรากฏ,1,0,0
239,A,appearance,noun,A2,ลักษณะภายนอก การปรากฏตัว,1,0,0
240,A,appendix,noun,C1,ภาคผนวก ไส้ติ่ง ส่วนต่อท้าย,0,0,1
241,A,appetite,noun,C1,ความกระหาย,0,0,0
242,A,applaud,verb,C1,ปรบมือ,0,0,0
243,A,apple,noun,A1,แอปเปิล,1,0,0
244,A,applicable,adjective,C1,ใช้งานได้,0,0,0
245,A,applicant,noun,B2,ผู้สมัคร,0,0,0
246,A,application,noun,B1,คำร้องขอ การประยุกต์ใช้ การสมัครงาน,1,0,1
247,A,apply,verb,A2,นำมาใช้,1,0,0
248,A,appoint,verb,C1,การแต่งตั้ง,0,0,0
249,A,appointment,noun,B1,การนัดหมาย,1,0,0
250,A,appreciate,verb,B1,"เห็นคุณค่า, ชมเชย",1,0,1
251,A,appreciation,noun,C1,ความกตัญญู,0,1,0
252,A,approach,noun,B2,เข้าใกล้ เข้าหา,1,1,1
253,A,appropriate,adjective,B2,สมควร เหมาะสม,1,1,1
254,A,appropriately,adverb,B2,อย่างเหมาะสม,0,0,0
255,A,approval,noun,B2,การอนุมัติ,1,0,0
256,A,approve,verb,B2,เห็นชอบ อนุมัติ,1,0,0
257,A,approximate,verb,B1,คาด ประมาณ,0,0,1
258,A,approximately,adverb,B1,ประมาณ,1,0,0
259,A,April,noun,A1,เมษายน,1,0,0
260,A,arbitrary,adjective,C1,โดยพลการ,0,1,1
261,A,architect,noun,A2,สถาปนิก,1,0,0
262,A,architectural,adjective,C1,เกี่ยวกับสถาปัตยกรรม,0,0,0
263,A,architecture,noun,A2,สถาปัตยกรรม,1,0,0
264,A,archive,noun,C1,คลังเก็บเอกสารสำคัญ,0,0,0
265,A,area,noun,A1,พื้นที่,1,1,1
266,A,arena,noun,C1,อารีน่า,0,0,0
267,A,arguably,adverb,C1,เป็นที่ถกเถียงได้,0,0,0
268,A,argue,verb,A2,โต้เถียง,1,0,0
269,A,argument,noun,A2,การโต้แย้ง,1,0,0
270,A,arise,verb,B2,เกิดขึ้น,1,0,0
271,A,arm,noun,A1,แขน,1,0,0
272,A,armed,adjective,B2,ติดอาวุธ,1,0,0
273,A,arms,noun,B2,แขน,1,0,0
274,A,army,noun,A2,กองทัพ,1,0,0
275,A,around,adverb,A1,รอบๆ,1,0,0
276,A,arrange,verb,A2,จัดเตรียม,1,0,0
277,A,arrangement,noun,A2,การจัดเตรียม,1,0,0
278,A,array,noun,C1,อาร์เรย์,0,0,0
279,A,arrest,noun,B1,จับกุม ดึงดูด ยับยั้ง,1,0,0
280,A,arrival,noun,B1,การมาถึง,1,0,0
281,A,arrive,verb,A1,มาถึง บรรลุถึง ปรากฏ,1,0,0
282,A,arrow,noun,B2,ลูกศร,0,0,0
283,A,art,noun,A1,ศิลปะ,1,0,0
284,A,article,noun,A1,บทความ,1,0,0
285,A,articulate,verb,C1,เป็นข้อต่อ,0,0,0
286,A,artificial,adjective,B2,เทียม,1,0,1
287,A,artist,noun,A1,ศิลปิน,1,0,0
288,A,artistic,adjective,B2,ศิลปะ,1,0,0
289,A,artwork,noun,B2,งานศิลปะ,0,0,0
290,A,as,adverb,A2,เช่น,1,0,0
291,A,ash,noun,C1,เถ้า,0,0,0
292,A,ashamed,adjective,B2,ละอาย,1,0,0
293,A,aside,adverb,B2,นอกเหนือจาก,0,0,0
294,A,ask,verb,A1,ถาม,1,0,0
295,A,asleep,adjective,A2,นอนหลับ,1,0,0
296,A,aspect,noun,B2,ลักษณะ มุมมอง หลักเกณฑ์,1,0,0
297,A,aspiration,noun,C1,ความทะเยอทะยาน,0,0,0
298,A,aspire,verb,C1,ต้องการ,0,0,0
299,A,assassination,noun,C1,การลอบสังหาร,0,0,0
300,A,assault,noun,C1,การจู่โจม ข่มขืน,0,0,0
301,A,assemble,verb,C1,รวบรวม,0,0,0
302,A,assembly,noun,C1,การชุมนุม กลุ่มคน,0,1,1
303,A,assert,verb,C1,ยืนยัน แสดงสิทธิ์ วินิจฉัย,0,0,0
304,A,assertion,noun,C1,การยืนยัน,0,0,0
305,A,assess,verb,B2,ประเมิน,1,0,0
306,A,assessment,noun,B2,การประเมิน,1,1,1
307,A,asset,noun,B2,ทรัพย์สิน ของมีค่า,0,0,0
308,A,assign,verb,B2,มอบหมาย อ้างว่า,0,0,1
309,A,assignment,noun,B1,งานที่มอบหมาย,1,0,0
310,A,assist,verb,B1,ช่วยเหลือ สนับสนุน,1,0,0
311,A,assistance,noun,B2,ความช่วยเหลือ,0,1,1
312,A,assistant,adjective,A2,ผู้ช่วย,1,0,0
313,A,associate,verb,B2,ผู้ที่มีความสัมพันธ์กัน เกี่ยวเนื่อง เข้าร่วม,1,0,0
314,A,associated,adjective,B2,ที่เกี่ยวข้อง,1,0,0
315,A,association,noun,B2,สมาคม,1,0,0
316,A,assume,verb,B2,สมมติ ทึกทักเอา ตีเสียว่า เหมา,1,1,1
317,A,assumption,noun,B2,การสันนิษฐาน การเข้ารับตำแหน่ง,0,0,0
318,A,assurance,noun,C1,การทำให้มั่นใจ ความเชื่อถือ,0,1,0
319,A,assure,verb,B2,ทำให้มั่นใจ,0,0,1
320,A,astonishing,adjective,B2,น่าประหลาดใจ,0,0,0
321,A,asylum,noun,C1,ที่ลี้ภัย,0,0,0
322,A,at,preposition,A1,ที่,1,0,0
323,A,athlete,noun,A2,นักกีฬา,1,0,0
324,A,atmosphere,noun,B1,บรรยากาศ,1,0,0
325,A,atrocity,noun,C1,ความโหดร้าย,0,0,0
326,A,attach,verb,B1,ติดกัน แนบ,1,0,0
327,A,attachment,noun,B2,สิ่งที่แนบมา,0,0,0
328,A,attack,noun,A2,บุก โจมตี,1,0,0
329,A,attain,verb,C1,บรรลุผล ได้มา,0,0,1
330,A,attempt,noun,B2,ความพยายาม พยายาม,1,0,0
331,A,attend,verb,A2,เข้าร่วม ฟังหรือดู อย่างตั้งใจ,1,0,0
332,A,attendance,noun,C1,ไปกับ การดูแล รักษา,0,0,0
333,A,attention,noun,A2,ความตั้งใจ การเอาใจใส่,1,0,0
334,A,attitude,noun,B1,ทัศนคติ,1,0,1
335,A,attorney,noun,C1,อัยการ,0,0,0
336,A,attract,verb,B1,ดึงดูด,1,0,0
337,A,attraction,noun,B1,สถานที่ท่องเที่ยว,1,0,0
338,A,attractive,adjective,A2,มีเสน่ห์,1,0,0
339,A,attribute,noun,C1,คุณลักษณะ ให้เหตุผลว่า,0,0,1
340,A,auction,noun,B2,การประมูลของการขายทอดตลาด,0,0,0
341,A,audience,noun,A2,ผู้ชม การได้ยิน,1,0,0
342,A,audio,adjective,B2,เสียง,0,0,0
343,A,audit,noun,C1,การตรวจสอบ,0,0,0
344,A,August,noun,A1,สิงหาคม,1,0,0
345,A,aunt,noun,A1,ป้า,1,0,0
346,A,authentic,adjective,C1,แท้,0,0,0
347,A,author,noun,A2,ผู้เขียน,1,1,0
348,A,authority,noun,B1,เจ้าหน้าที่ ผู้มีอำนาจ ความเชื่อถือได้ ความเชี่ยวชาญ,1,1,1
349,A,authorize,verb,C1,อนุญาต,0,0,0
350,A,auto,noun,C1,รถยนต์,0,0,0
351,A,automatic,adjective,B2,อัตโนมัติ,0,0,0
352,A,automatically,adverb,B2,โดยอัตโนมัติ,0,1,1
353,A,autonomy,noun,C1,เอกราช,0,0,0
354,A,autumn,noun,A1,ฤดูใบไม้ร่วง,1,0,0
355,A,availability,noun,C1,ความพร้อม,0,0,0
356,A,available,adjective,A2,ใช้ประโยชน์ได้ เท่าที่จะหาได้,1,1,1
357,A,average,adjective,A2,โดยเฉลี่ย โดยทั่วไป,1,0,0
358,A,avert,verb,C1,หลีกเลี่ยง เบี่ยงบ่าย,0,0,1
359,A,avoid,verb,A2,หลีกเลี่ยง,1,0,0
360,A,await,verb,C1,รอคอย,0,0,0
361,A,award,noun,A2,ให้รางวัล ตัดสิน,1,0,0
362,A,aware,adjective,B1,รับรู้,1,1,1
363,A,awareness,noun,B2,การรับรู้,0,0,0
364,A,away,adverb,A1,ห่างออกไป,1,0,0
365,A,awful,adjective,A2,น่ากลัว แย่มาก,1,0,0
366,A,awkward,adjective,B2,งุ่มง่าม,0,0,0
367,B,baby,noun,A1,ที่รัก,1,0,0
368,B,back,adjective,A2,กลับ,1,0,0
369,B,backdrop,noun,C1,ฉากหลัง,0,0,0
370,B,background,noun,A2,พื้นหลัง,1,0,0
371,B,backing,noun,C1,การสนับสนุน,0,0,0
372,B,backup,noun,C1,การสำรอง,0,0,0
373,B,backwards,adverb,B1,ย้อนกลับ,1,0,0
374,B,bacteria,noun,B2,แบคทีเรีย,1,0,0
375,B,bad,adjective,A1,แย่,1,0,0
376,B,badge,noun,B2,เครื่องหมาย สัญลักษณ์,0,0,0
377,B,badly,adverb,A2,ห่วย,1,0,0
378,B,bag,noun,A1,ถุง,1,0,0
379,B,bail,noun,C1,การประกันตัว,0,0,0
380,B,bake,verb,B1,อบ,1,0,0
381,B,balance,noun,B1,สมดุล,1,0,0
382,B,balanced,adjective,B2,สมดุล,0,0,0
383,B,ball,noun,A1,ลูกบอล,1,0,0
384,B,ballet,noun,B2,บัลเล่ต์,0,0,0
385,B,balloon,noun,B2,บอลลูน,0,0,0
386,B,ballot,noun,C1,บัตรลงคะแนน,0,0,0
387,B,ban,noun,B1,ห้าม,1,0,0
388,B,banana,noun,A1,กล้วย,1,0,0
389,B,band,noun,A1,วงดนตรี,1,0,0
390,B,bank,noun,A1,ธนาคาร,1,0,0
391,B,banner,noun,C1,แบนเนอร์,0,0,0
392,B,bar,noun,A2,บาร์,1,0,0
393,B,bare,adjective,C1,เปลือย,0,0,0
394,B,barely,adverb,B2,แทบจะไม่,0,0,0
395,B,bargain,noun,B2,ต่อรอง เจรจา ต่อราคา,0,0,0
396,B,barrel,noun,C1,ถัง,0,0,0
397,B,barrier,noun,B2,สิ่งกีดขวางทางผ่าน อุปสรรค,1,0,0
398,B,base,noun,B1,ฐาน,1,0,0
399,B,baseball,noun,A2,เบสบอล,1,0,0
400,B,based,adjective,A2,ซึ่งเป็นรากฐาน,1,0,0
401,B,basement,noun,B2,ชั้นใต้ดิน,0,0,0
402,B,basic,adjective,B1,ขั้นพื้นฐาน,1,0,0
403,B,basically,adverb,B2,โดยทั่วไป,1,0,0
404,B,basis,noun,B1,พื้นฐาน,1,0,0
405,B,basket,noun,B2,ตะกร้า,0,0,0
406,B,basketball,noun,A2,บาสเกตบอล,1,0,0
407,B,bass,noun,C1,เสียงเบส,0,0,0
408,B,bat,noun,B2,ค้างคาว,0,0,0
409,B,bath,noun,A1,อาบน้ำ,1,0,0
410,B,bathroom,noun,A1,ห้องน้ำ,1,0,0
411,B,battery,noun,B1,แบตเตอรี่,1,0,0
412,B,battle,noun,B1,การสู้รบ,1,0,0
413,B,battlefield,noun,C1,สนามรบ,0,0,0
414,B,bay,noun,C1,อ่าว,0,0,0
415,B,be,verb,A1,เป็น,1,0,0
416,B,beach,noun,A1,ชายหาด,1,0,0
417,B,beam,noun,C1,ลำแสง,0,0,0
418,B,bean,noun,A2,ถั่ว,1,0,0
419,B,bear,noun,A2,หมี,1,0,0
420,B,beast,noun,C1,สัตว์ร้าย,0,0,0
421,B,beat,noun,B2,ตี ทำให้พ่ายแพ้,1,0,0
422,B,beautiful,adjective,A1,สวย,1,0,0
423,B,beauty,noun,B1,ความงาม,1,0,0
424,B,because,conjunction,A1,เพราะ,1,0,0
425,B,become,verb,A1,กลายเป็น สอดคล้องกัน เหมาะ,1,0,0
426,B,bed,noun,A1,เตียง,1,0,0
427,B,bedroom,noun,A1,ห้องนอน,1,0,0
428,B,bee,noun,B1,ผึ้ง,1,0,0
429,B,beef,noun,A2,เนื้อวัว,1,0,0
430,B,beer,noun,A1,เบียร์,1,0,0
431,B,before,adverb,A2,ก่อน,1,0,0
432,B,beg,verb,B2,ขอ,1,0,0
433,B,begin,verb,A1,เริ่มต้น,1,0,0
434,B,beginning,noun,A1,จุดเริ่มต้น,1,0,0
435,B,behalf,noun,C1,ในนาม,0,1,1
436,B,behave,verb,A2,"ประพฤติ, ปฏิบัติตัว",1,0,0
437,B,behaviour,noun,A2,พฤติกรรม,1,0,0
438,B,behind,adverb,A1,ด้านหลัง,1,0,0
439,B,being,noun,B2,สิ่งมีชีวิต,1,0,0
440,B,belief,noun,B1,ความเชื่อ,1,0,0
441,B,believe,verb,A1,เชื่อ,1,0,0
442,B,bell,noun,B1,กระดิ่ง,1,0,0
443,B,belong,verb,A2,เกี่ยวกับ เป็นของ อยู่ใน ขึ้นอยู่กับ,1,0,0
444,B,beloved,adjective,C1,เป็นที่รัก,0,0,0
445,B,below,adverb,A1,ด้านล่าง,1,0,0
446,B,belt,noun,A2,เข็มขัด,1,0,0
447,B,bench,noun,C1,ม้านั่ง,0,0,0
448,B,benchmark,noun,C1,เกณฑ์มาตรฐาน,0,0,0
449,B,bend,noun,B1,โค้งงอ,1,0,0
450,B,beneath,preposition,C1,ข้างใต้,0,0,0
451,B,beneficial,adjective,B2,เป็นประโยชน์,0,0,0
